Attack_type,count,mean,std,min,25%,50%,75%,max
ARP_poisioning,7750.0,6.4234838709677415,57.07013808898998,0.0,0.0,2.0,2.0,3709.0
DDOS_Slowloris,534.0,1.1235955056179776,1.9858045456409361,0.0,0.0,0.0,1.0,6.0
DOS_SYN_Hping,94659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQTT_Publish,4146.0,6.222141823444284,156.91634337962836,0.0,3.0,4.0,4.0,10105.0
Metasploit_Brute_Force_SSH,37.0,4.378378378378378,3.4022162005191663,0.0,5.0,5.0,5.0,21.0
NMAP_FIN_SCAN,28.0,0.17857142857142858,0.4755948656056709,0.0,0.0,0.0,0.0,2.0
NMAP_OS_DETECTION,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMAP_TCP_scan,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMAP_UDP_SCAN,2590.0,0.008108108108108109,0.10912363732550262,0.0,0.0,0.0,0.0,2.0
NMAP_XMAS_TREE_SCAN,2010.0,0.0024875621890547263,0.058975668811168246,0.0,0.0,0.0,0.0,2.0
Thing_Speak,8108.0,2.674025653675382,4.26669584695622,0.0,1.0,2.0,2.0,167.0
Wipro_bulb,253.0,11.600790513833992,42.576200588068744,0.0,1.0,4.0,6.0,371.0
