Attack_type,count,mean,std,min,25%,50%,75%,max
ARP_poisioning,7750.0,1680.858864616903,3769.269437876547,0.0,0.0,2.976979,103.65140124999999,91180.521739
DDOS_Slowloris,534.0,181.4304304307116,313.9134070569557,0.0,0.18240799999999993,0.3267375,395.888091,1131.658602
DOS_SYN_Hping,94659.0,444796.20653457753,368949.95224426093,0.0,199728.761905,246723.764706,838860.8,1048576.0
MQTT_Publish,4146.0,0.5390117549445249,12.54365282936177,0.0,0.09681,0.13047350000000002,0.1937345,572.44493
Metasploit_Brute_Force_SSH,37.0,97.12857781081084,408.9231681489641,0.0,5.278238,6.291871,8.218786,2336.65961
NMAP_FIN_SCAN,28.0,30.362344464285716,145.37628533934713,0.0,0.0,0.0,0.0,770.4452610000001
NMAP_OS_DETECTION,2000.0,211007.47275047147,198236.62349746385,20867.184080000003,139810.133333,167772.16,199728.761905,1048576.0
NMAP_TCP_scan,1002.0,416822.4712833273,300275.1428935556,0.0,199728.761905,262144.0,524288.0,1048576.0
NMAP_UDP_SCAN,2590.0,0.8248584204633204,23.56993010467856,0.0,0.0,0.0,0.0,943.388214
NMAP_XMAS_TREE_SCAN,2010.0,174497.43512586717,166274.73870909147,0.0,123361.882353,144631.172414,167772.16,1048576.0
Thing_Speak,8108.0,38.45163715281203,129.7077606504704,0.0,6.652297749999999,9.4050385,62.05211475,4650.004435
Wipro_bulb,253.0,229.76100976679842,1558.857056656183,0.0,0.32033,9.967651,17.86785,12985.4613
