Attack_type,count,mean,std,min,25%,50%,75%,max
ARP_poisioning,7750.0,8.678064516129032,62.78343271338594,0.0,0.0,2.0,5.0,3782.0
DDOS_Slowloris,534.0,5.035580524344569,4.102880507839429,0.0,3.0,4.0,7.0,13.0
DOS_SYN_Hping,94659.0,0.8976325547491523,0.303132515814672,0.0,1.0,1.0,1.0,1.0
MQTT_Publish,4146.0,8.277858176555716,156.99453319055502,0.0,6.0,6.0,6.0,10112.0
Metasploit_Brute_Force_SSH,37.0,10.64864864864865,6.680054125762989,0.0,13.0,13.0,13.0,35.0
NMAP_FIN_SCAN,28.0,0.32142857142857145,1.0202966681339753,0.0,0.0,0.0,0.0,5.0
NMAP_OS_DETECTION,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NMAP_TCP_scan,1002.0,0.998003992015968,0.04465438354811174,0.0,1.0,1.0,1.0,1.0
NMAP_UDP_SCAN,2590.0,0.011196911196911196,0.1743223812741492,0.0,0.0,0.0,0.0,5.0
NMAP_XMAS_TREE_SCAN,2010.0,0.9965174129353234,0.12009541148563532,0.0,1.0,1.0,1.0,5.0
Thing_Speak,8108.0,4.451406018746916,5.206691877508499,0.0,2.0,2.0,5.0,177.0
Wipro_bulb,253.0,17.126482213438734,45.53796395304438,0.0,1.0,11.0,14.0,405.0
