Attack_type,count,mean,std,min,25%,50%,75%,max
ARP_poisioning,7750.0,3468.888548128129,10101.976962002054,0.0,0.0,6.465031,199.46760774999998,493447.529412
DDOS_Slowloris,534.0,3526.0588936198506,7403.610514016764,0.0,0.49077449999999995,0.6497535,1809.421865,55097.589491
DOS_SYN_Hping,94659.0,889592.4130691735,737899.9044885156,0.0,399457.52381,493447.529412,1677721.6,2097152.0
MQTT_Publish,4146.0,1.1937135754944526,24.67305972394745,0.0,0.258168,0.349426,0.5165154999999999,1144.889859
Metasploit_Brute_Force_SSH,37.0,194.77293208108108,817.7190683392188,0.0,10.962495,13.343112,17.521572,4673.31922
NMAP_FIN_SCAN,28.0,60.78670535714286,290.7431646357024,0.0,0.0,0.0,0.0,1540.890522
NMAP_OS_DETECTION,2000.0,422014.94550103246,396473.24699493137,41734.368159,279620.266667,335544.32,399457.52381,2097152.0
NMAP_TCP_scan,1002.0,833675.5554466187,600508.1050419215,667.8828030000001,399457.52381,524288.0,1048576.0,2097152.0
NMAP_UDP_SCAN,2590.0,1128.7210269046332,5227.61779390117,0.0,0.0,0.0,0.0,44739.242667
NMAP_XMAS_TREE_SCAN,2010.0,348994.8706920423,332549.47695597383,0.0,246723.764706,289262.344828,335544.32,2097152.0
Thing_Speak,8108.0,79.86453163307843,286.88361093732294,0.0,15.827581,20.302535499999998,124.23633325,10922.66667
Wipro_bulb,253.0,334.4246219762846,1872.3580150027683,0.0,0.833988,20.093968,46.331822,16677.153082
