Attack_type,count,mean,std,min,25%,50%,75%,max
ARP_poisioning,7750.0,4.436516129032258,21.73936778630027,0.0,1.0,2.0,3.0,1156.0
DDOS_Slowloris,534.0,2.9737827715355807,1.057123569718244,0.0,2.0,3.0,4.0,9.0
DOS_SYN_Hping,94659.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MQTT_Publish,4146.0,2.992040520984081,0.1604707619051248,0.0,3.0,3.0,3.0,4.0
Metasploit_Brute_Force_SSH,37.0,5.45945945945946,2.6414915251572313,1.0,6.0,6.0,6.0,17.0
NMAP_FIN_SCAN,28.0,0.17857142857142858,0.4755948656056709,0.0,0.0,0.0,0.0,2.0
NMAP_OS_DETECTION,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMAP_TCP_scan,1002.0,0.003992015968063872,0.08930876709622348,0.0,0.0,0.0,0.0,2.0
NMAP_UDP_SCAN,2590.0,1.1691119691119691,24.792502580913755,0.0,0.0,0.0,1.0,903.0
NMAP_XMAS_TREE_SCAN,2010.0,0.0029850746268656717,0.07048890473338411,0.0,0.0,0.0,0.0,2.0
Thing_Speak,8108.0,2.1909225456339416,1.7481933757067645,0.0,2.0,2.0,2.0,81.0
Wipro_bulb,253.0,67.54150197628458,403.19498224464417,0.0,1.0,5.0,6.0,4345.0
