Attack_type,count,mean,std,min,25%,50%,75%,max
ARP_poisioning,7750.0,8.296903225806451,40.53705127682358,0.0,1.0,2.0,6.0,2166.0
DDOS_Slowloris,534.0,6.0411985018726595,1.642021835761008,1.0,4.0,6.0,7.75,11.0
DOS_SYN_Hping,94659.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MQTT_Publish,4146.0,10.171972986010612,25.85122313971419,1.0,9.0,10.0,10.0,1661.0
Metasploit_Brute_Force_SSH,37.0,12.216216216216216,6.320755647226995,1.0,14.0,14.0,15.0,33.0
NMAP_FIN_SCAN,28.0,1.2142857142857142,0.9567360740266436,1.0,1.0,1.0,1.0,6.0
NMAP_OS_DETECTION,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NMAP_TCP_scan,1002.0,1.0099800399201597,0.14099758608400673,1.0,1.0,1.0,1.0,3.0
NMAP_UDP_SCAN,2590.0,2.06988416988417,24.809870689873087,0.0,1.0,1.0,1.0,903.0
NMAP_XMAS_TREE_SCAN,2010.0,1.0034825870646766,0.13566498626040902,1.0,1.0,1.0,1.0,7.0
Thing_Speak,8108.0,5.392451899358658,5.099880857515563,0.0,2.0,2.0,7.0,130.0
Wipro_bulb,253.0,80.5296442687747,407.1445817240528,0.0,1.0,10.0,16.0,4345.0
