Attack_type,count,mean,std,min,25%,50%,75%,max
ARP_poisioning,7750.0,3.6612632446451614,7.803827404611474,0.0,1.0,2.0,2.166667,240.666667
DDOS_Slowloris,534.0,3.495099876404494,2.292735900342142,1.0,1.75,2.5,4.0,8.0
DOS_SYN_Hping,94659.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MQTT_Publish,4146.0,3.3483475615050655,4.389516697342178,1.0,3.0,3.333333,3.333333,276.833333
Metasploit_Brute_Force_SSH,37.0,6.545045027027027,5.151358560728214,1.0,7.0,7.0,7.5,33.0
NMAP_FIN_SCAN,28.0,1.2142857142857142,0.9567360740266436,1.0,1.0,1.0,1.0,6.0
NMAP_OS_DETECTION,2000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
NMAP_TCP_scan,1002.0,1.0099800399201597,0.14099758608400673,1.0,1.0,1.0,1.0,3.0
NMAP_UDP_SCAN,2590.0,1.3776647308880308,1.5734261746219396,0.0,1.0,1.0,1.0,8.0
NMAP_XMAS_TREE_SCAN,2010.0,1.0017412935323382,0.06004770574281766,1.0,1.0,1.0,1.0,3.5
Thing_Speak,8108.0,5.2160976311050815,4.307971686203037,0.0,2.0,2.0,7.0,72.0
Wipro_bulb,253.0,4.340418920948617,4.139420247927742,0.0,1.0,2.043478,10.0,13.0
